Country;NUTS;geo;label;na_item;vintage;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
AT;2;AT12;Niederösterreich;B6N;2015;24786;25343;25751;26687;27770;29641;31190;32872;33838;33989;34434;35457;36917;36951;;;;;;;
AT;2;AT13;Wien;B6N;2015;27342;27495;28013;28913;29839;31524;32834;34351;35283;35501;35505;36559;37922;37859;;;;;;;
AT;2;AT21;Kärnten;B6N;2015;8295;8491;8622;8929;9261;9904;10331;10758;10989;10965;11043;11242;11757;11700;;;;;;;
AT;2;AT22;Steiermark;B6N;2015;17890;18243;18613;19219;19947;21351;22393;23476;24164;24071;24267;24910;26025;25987;;;;;;;
AT;2;AT31;Oberösterreich;B6N;2015;21307;21720;22048;22823;23939;25620;26919;28125;29032;29006;29000;29901;31217;31205;;;;;;;
AT;2;AT32;Salzburg;B6N;2015;8110;8261;8409;8708;9050;9697;10161;10620;10961;10979;11014;11348;11881;11931;;;;;;;
AT;2;AT33;Tirol;B6N;2015;10224;10420;10752;11204;11659;12443;13021;13608;13989;14019;14089;14573;15342;15520;;;;;;;
AT;2;AT34;Vorarlberg;B6N;2015;5688;5746;5878;6094;6338;6770;7185;7471;7677;7704;7745;8045;8445;8526;;;;;;;
AT;2;ATZZ;Extra-regio;B6N;2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
AT;0;AT;Austria;B6N;2016;127697;129893;132347;137014;142539;151962;159305;166807;171615;171950;172879;177935;184650;185054;188866;;;;;;
AT;2;AT11;Burgenland (AT);B6N;2016;4056;4173;4261;4437;4736;5013;5272;5526;5683;5714;5781;5900;6229;6168;6284;;;;;;
AT;2;AT12;Niederösterreich;B6N;2016;24786;25343;25751;26687;27770;29641;31190;32872;33838;33989;34434;35457;36694;36799;37446;;;;;;
AT;2;AT13;Wien;B6N;2016;27342;27495;28013;28913;29839;31524;32834;34351;35283;35501;35505;36559;37696;37665;38442;;;;;;
AT;2;AT21;Kärnten;B6N;2016;8295;8491;8622;8929;9261;9904;10331;10758;10989;10965;11043;11242;11677;11636;11850;;;;;;
AT;2;AT22;Steiermark;B6N;2016;17890;18243;18613;19219;19947;21351;22393;23476;24164;24071;24267;24910;25848;25864;26396;;;;;;
AT;2;AT31;Oberösterreich;B6N;2016;21307;21720;22048;22823;23939;25620;26919;28125;29032;29006;29000;29901;31017;31069;31779;;;;;;
AT;2;AT32;Salzburg;B6N;2016;8110;8261;8409;8708;9050;9697;10161;10620;10961;10979;11014;11348;11805;11881;12122;;;;;;
AT;2;AT33;Tirol;B6N;2016;10224;10420;10752;11204;11659;12443;13021;13608;13989;14019;14089;14573;15241;15432;15775;;;;;;
AT;2;AT34;Vorarlberg;B6N;2016;5688;5746;5878;6094;6338;6770;7185;7471;7677;7704;7745;8045;8442;8541;8773;;;;;;
AT;2;ATZZ;Extra-regio;B6N;2016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
